 49.3571 2.5128 0.0000 0.000  Wed Nov 13 10:55:47 2013
 76.1255 1.4627 0.0000 5.000  Wed Nov 13 10:55:48 2013
 1.0000 1.863  Wed Nov 13 10:57:45 2013
 1.0000 0.696  Wed Nov 13 10:57:46 2013
 1.0000 -0.648  Wed Nov 13 10:57:47 2013
 1.0000 -1.229  Wed Nov 13 10:57:48 2013
 1.0000 -1.566  Wed Nov 13 10:57:49 2013
 1.0000 -1.763  Wed Nov 13 10:57:50 2013
 1.0000 -1.872  Wed Nov 13 10:57:51 2013
 1.0000 -1.867  Wed Nov 13 10:57:52 2013
 1.0000 -1.924  Wed Nov 13 10:57:53 2013
 1.0000 -1.918  Wed Nov 13 10:57:55 2013
 1.0000 -1.965  Wed Nov 13 10:57:56 2013
 1.0000 -1.950  Wed Nov 13 10:57:57 2013
 1.0000 -1.978  Wed Nov 13 10:57:58 2013
 1.0000 -1.894  Wed Nov 13 10:58:01 2013
 1.0000 -1.898  Wed Nov 13 10:58:03 2013
 1.0000 -1.956  Wed Nov 13 10:58:04 2013
 1.0000 -1.956  Wed Nov 13 10:58:05 2013
 1.0000 -1.984  Wed Nov 13 10:58:06 2013
 1.0000 -2.025  Wed Nov 13 10:58:07 2013
 1.0000 -2.061  Wed Nov 13 10:58:08 2013
 1.0000 -1.985  Wed Nov 13 10:58:09 2013
 1.0000 -1.958  Wed Nov 13 10:58:10 2013
 1.0000 -1.981  Wed Nov 13 10:58:11 2013
 1.0000 -2.002  Wed Nov 13 10:58:12 2013
 1.0000 -2.006  Wed Nov 13 10:58:13 2013
 1.0000 -2.016  Wed Nov 13 10:58:14 2013
 1.0000 -2.014  Wed Nov 13 10:58:15 2013
 1.0000 -1.948  Wed Nov 13 10:58:16 2013
 1.0000 -1.975  Wed Nov 13 10:58:17 2013
 1.0000 -1.966  Wed Nov 13 10:58:18 2013
 1.0000 -1.975  Wed Nov 13 10:58:19 2013
 1.0000 -2.007  Wed Nov 13 10:58:20 2013
 1.0000 -2.019  Wed Nov 13 10:58:21 2013
 1.0000 -1.954  Wed Nov 13 10:58:22 2013
 1.0000 -1.982  Wed Nov 13 10:58:23 2013
 1.0000 -1.993  Wed Nov 13 10:58:24 2013
 1.0000 -2.020  Wed Nov 13 10:58:25 2013
 1.0000 -2.018  Wed Nov 13 10:58:26 2013
 1.0000 -2.029  Wed Nov 13 10:58:27 2013
 1.0000 -1.971  Wed Nov 13 10:58:28 2013
 1.0000 -1.965  Wed Nov 13 10:58:29 2013
 1.0000 -1.998  Wed Nov 13 10:58:30 2013
 1.0000 -2.022  Wed Nov 13 10:58:31 2013
 1.0000 -2.038  Wed Nov 13 10:58:32 2013
 1.0000 -2.047  Wed Nov 13 10:58:33 2013
 1.0000 -2.048  Wed Nov 13 10:58:34 2013
 1.0000 -1.991  Wed Nov 13 10:58:35 2013
 1.0000 -2.006  Wed Nov 13 10:58:36 2013
 1.0000 -2.032  Wed Nov 13 10:58:37 2013
 1.0000 -2.034  Wed Nov 13 10:58:38 2013
 1.0000 -2.049  Wed Nov 13 10:58:39 2013
 1.0000 -2.063  Wed Nov 13 10:58:41 2013
 1.0000 -1.991  Wed Nov 13 10:58:42 2013
 1.0000 -1.994  Wed Nov 13 10:58:43 2013
 1.0000 -2.005  Wed Nov 13 10:58:44 2013
 1.0000 -2.030  Wed Nov 13 10:58:45 2013
 1.0000 -2.020  Wed Nov 13 10:58:46 2013
 1.0000 -2.024  Wed Nov 13 10:58:47 2013
 1.0000 -1.954  Wed Nov 13 10:58:48 2013
 1.0000 -1.977  Wed Nov 13 10:58:49 2013
 1.0000 -1.977  Wed Nov 13 10:58:50 2013
 1.0000 -1.986  Wed Nov 13 10:58:51 2013
 1.0000 -2.027  Wed Nov 13 10:58:52 2013
 1.0000 -2.045  Wed Nov 13 10:58:53 2013
 1.0000 -1.982  Wed Nov 13 10:58:54 2013
 1.0000 -2.021  Wed Nov 13 10:58:55 2013
 1.0000 -1.997  Wed Nov 13 10:58:56 2013
 1.0000 -2.005  Wed Nov 13 10:58:57 2013
 1.0000 -2.032  Wed Nov 13 10:58:58 2013
 1.0000 -2.038  Wed Nov 13 10:58:59 2013
 1.0000 -1.981  Wed Nov 13 10:59:00 2013
 1.0000 -2.005  Wed Nov 13 10:59:01 2013
 1.0000 -1.995  Wed Nov 13 10:59:02 2013
 1.0000 -2.026  Wed Nov 13 10:59:03 2013
 1.0000 -2.038  Wed Nov 13 10:59:04 2013
 1.0000 -2.037  Wed Nov 13 10:59:05 2013
 1.0000 -2.032  Wed Nov 13 10:59:06 2013
 1.0000 -1.975  Wed Nov 13 10:59:07 2013
 1.0000 -1.992  Wed Nov 13 10:59:08 2013
 1.0000 -1.983  Wed Nov 13 10:59:09 2013
 1.0000 -2.007  Wed Nov 13 10:59:10 2013
 1.0000 -2.011  Wed Nov 13 10:59:11 2013
 1.0000 -2.028  Wed Nov 13 10:59:12 2013
 1.0000 -1.958  Wed Nov 13 10:59:13 2013
 1.0000 -1.970  Wed Nov 13 10:59:14 2013
 1.0000 -2.001  Wed Nov 13 10:59:15 2013
 1.0000 -2.023  Wed Nov 13 10:59:16 2013
 1.0000 -2.064  Wed Nov 13 10:59:17 2013
 1.0000 -2.054  Wed Nov 13 10:59:19 2013
 1.0000 -2.039  Wed Nov 13 10:59:20 2013
 1.0000 -2.007  Wed Nov 13 10:59:21 2013
